Early Rock&Roll Era Fake Book,('Til) I Kissed You
"Ultimate Fake Book, 4th Ed.",('Til) I Kissed You
"Ultimate Fake Book, 4th Ed.",(All Of A Sudden) My Heart Sings
"Real Vocal Book, Vol. 1",(All Of A Sudden) My Heart Sings
Performer's Fake Book,(Down At) Papa Joe's
Best Fake Book Ever,(Everything I Do) I Do It For You
"Ultimate Pop/Rock Fake Book, 4th Ed.",(Everything I Do) I Do It For You
Best Fake Book Ever,(Ghost) Riders In The Sky (A Cowboy Legend)
Performer's Fake Book,(Ghost) Riders In The Sky (A Cowboy Legend)
Movie Fake Book,(Ghost) Riders In The Sky (A Cowboy Legend)
Best Fake Book Ever,"(Hey, Won't You Play) Another Somebody Done Somebody Wrong Song"
Just Standards Real Book,(How Little It Matters) How Little We Know
Jazz Classics Fake Book,(I Can Recall) Spain
Ultimate Jazz Fakebook,(I Can Recall) Spain
Just Jazz Real Book,(I Don't Stand) A Ghost Of A Chance (With You)
Just Standards Real Book,"(I Got A Woman, Crazy For Me) She's Funny That Way "
Jazz of the 50's,(I Love You) For Sentimental Reasons
Real Book 6th Ed.,(I Love You) For Sentimental Reasons
Ultimate Jazz Fakebook,(I Love You) For Sentimental Reasons
"Real Vocal Book, Vol. 1",(I Love You) For Sentimental Reasons
Just Standards Real Book,(I Love You) For Sentimental Reasons
Best Fake Book Ever,(I Never Promised You A) Rose Garden
"Ultimate Pop/Rock Fake Book, 4th Ed.",(I Never Promised You A) Rose Garden
"Ultimate Fake Book, 4th Ed.",(I Scream-You Scream-We All Scream For) Ice Cream
Best Fake Book Ever,(I Stayed) Too Long At The Fair
"Ultimate Fake Book, 4th Ed.",(I Wanna Go Where You Go - Do What You Do) Then I'll Be Happy
"Ultimate Fake Book, 4th Ed.",(I Wish I Was In) Dixie
Broadway Fake Book,(I Wonder Why?) You're Just In Love
Jazz of the 50's,(I Wonder Why?) You're Just In Love
"Ultimate Fake Book, 4th Ed.",(I Wonder Why?) You're Just In Love
Best Fake Book Ever,(I'm A) Ramblin' Man
Best Fake Book Ever,(I'm Afraid) The Masquerade Is Over
HL Real Book Vol. 2,(I'm Afraid) The Masquerade Is Over
HL Real Jazz Book,(I'm Afraid) The Masquerade Is Over
"HL Realbook, Vol. 3",(I'm Afraid) The Masquerade Is Over
HL Swing Era Fake Book,(I'm Afraid) The Masquerade Is Over
"Real Vocal Book, Vol. 2",(I'm Afraid) The Masquerade Is Over
"Ultimate Pop/Rock Fake Book, 4th Ed.",(I've Had) The Time Of My Life
Blues Fakebook,(I) Can't Afford To Do It
Movie Fake Book,(I) Get Lost
Best Fake Book Ever,(If I Knew You Were Comin') I'd've Baked A Cake
"Ultimate Fake Book, 4th Ed.",(It's A) Beautiful Morning
"Ultimate Fake Book, 4th Ed.",(Just Like) Starting Over
"Ultimate Fake Book, 4th Ed.",(Last Night) I Didn't Get to Sleep At All
Early Rock&Roll Era Fake Book,(Let Me Be Your) Teddy Bear
"Ultimate Fake Book, 4th Ed.",(Let Me Be Your) Teddy Bear
"Ultimate Pop/Rock Fake Book, 4th Ed.",(Let Me Be Your) Teddy Bear
Movie Fake Book,(Let Me Be Your) Teddy Bear
"HL Realbook, Vol. 3",(Love Is) The Tender Trap
"Real Vocal Book, Vol. 2",(Love Is) The Tender Trap
HL Real Book Vol. 2,(Love Is) The Tender Trap
HL Real Jazz Book,(Meet) The Flintstones
Movie Fake Book,(Meet) The Flintstones
Early Rock&Roll Era Fake Book,(Now And Then There's) A Fool Such As I
"Ultimate Fake Book, 4th Ed.",(Now And Then There's) A Fool Such As I
"HL Real Book, 6th Edition",(Old Man From) The Old Country
Real Book 6th Ed.,(Old Man From) The Old Country
Standards Real Book,(Our)Love Is Here To Stay
"Ultimate Fake Book, 4th Ed.",(Put Another Nickel In) Music! Music! Music!
TV Fake Book,(Roll Along) Wagon Train
Best Fake Book Ever,(Seven Little Girls) Sitting In The Back Seat
Early Rock&Roll Era Fake Book,(Seven Little Girls) Sitting In The Back Seat
Classic Rock Fake Book,(She's) Some Kind Of Wonderful
Best Fake Book Ever,(Sittin' On) The Dock Of The Bay
Real Rock Book,(Sittin' On) The Dock Of The Bay
"Ultimate Pop/Rock Fake Book, 4th Ed.",(Sittin' On) The Dock Of The Bay
Just Standards Real Book,(Sittin' On) The Dock Of The Bay
Movie Fake Book,(The Boys Are) Back In Town
Best Fake Book Ever,(The Original) Boogie Woogie
Performer's Fake Book,(The Original) Boogie Woogie
Ultimate Jazz Fakebook,(The Original) Boogie Woogie
"Ultimate Fake Book, 4th Ed.",(The Wreck Of The) 'John B'
Just Standards Real Book,(Theme From) A Summer Place
Best Fake Book Ever,(There Ought To Be A) Moonlight Saving Time
HL Real Jazz Book,(There Ought To Be A) Moonlight Saving Time
"Real Vocal Book, Vol. 2",(There Ought To Be A) Moonlight Saving Time
"HL Realbook, Vol. 3",(There Ought To Be A) Moonlight Savings Time
HL Real Jazz Book,(There'll Be Bluebirds Over) The White Cliffs Of Dover
"HL Realbook, Vol. 3",(There'll Be Bluebirds Over) The White Cliffs Of Dover
"Ultimate Fake Book, 4th Ed.",(There'll Be Bluebirds Over) The White Cliffs Of Dover
"Ultimate Fake Book, 4th Ed.",(There'll Be) Peace In The Valley (For Me)
Real Christmas Book,(There's No Place Like) Home For The Holidays
"Ultimate Fake Book, 4th Ed.",(There's) Always Something There To Remind Me
Real Blues Book,(They Call It) Stormy Monday (Stormy Monday Blues)
"Ultimate Fake Book, 4th Ed.",(They Call It) Stormy Monday (Stormy Monday Blues)
Best Fake Book Ever,(They Long To Be) Close To You
"Ultimate Pop/Rock Fake Book, 4th Ed.",(They Long To Be) Close To You
Blues Fakebook,(What Did I Do To Be So) Black And Blue
Broadway Fake Book,(What Did I Do To Be So) Black And Blue
HL Real Jazz Book,(What Did I Do To Be So) Black And Blue
Real Dixieland Book,(What Did I Do To Be So) Black And Blue
Best Fake Book Ever,(You Make Me Feel Like) A Natural Woman
"R&B Fake Book, 2nd Ed.",(You Make Me Feel Like) A Natural Woman
Best Fake Book Ever,(You're My) Soul And Inspiration
"Ultimate Fake Book, 4th Ed.","(You're So Square) Baby, I Don't Care"
Best Fake Book Ever,(You've Got) Personality
Early Rock&Roll Era Fake Book,(You've Got) Personality
"Ultimate Pop/Rock Fake Book, 4th Ed.",(You've Got) Personality
Early Rock&Roll Era Fake Book,(You've Got) The Magic Touch
"Ultimate Fake Book, 4th Ed.",(You've Got) The Magic Touch
"R&B Fake Book, 2nd Ed.",(Your Love Keeps Lifting Me) Higher And Higher
Pocket Changes (1),0 Grande Amor
The Jazz Fakebook (CPP/Belwin),1 o'clock jump
World's Greatest Fakebook (Sher),111-44
The Jazz Fakebook (CPP/Belwin),2 sleepy people
Blues Fakebook,23 Hours Too Long
Best Fake Book Ever,26 Miles (Santa Catalina)
Early Rock&Roll Era Fake Book,26 Miles (Santa Catalina)
"New Real Book, Vol. 2",26-2
Pocket Changes II,26-2
Blues Fakebook,32-20 Blues
"HL Realbook, Vol. 4",34 Skidoo
"New Real Book, Vol. 3",34 Skidoo
World's Greatest Fakebook (Sher),4 A.M.
"R&B Fake Book, 2nd Ed.",4 Seasons Of Loneliness
The Jazz Fakebook (CPP/Belwin),"5 foot two, eyes of blue"
"HL Real Book, 6th Edition",500 Miles High
HL Real Jazz Book,500 Miles High
Jazz Classics Fake Book,500 Miles High
Just Jazz Real Book,500 Miles High
"New Real Book, Vol. 2",500 Miles High
Real Book 6th Ed.,500 Miles High
"HL Real Book, 6th Edition",502 Blues
Real Book 6th Ed.,502 Blues
"Real Book, Vol. 1",502 Blues
HL Real Book Vol. 2,52nd Street Theme
Thelonious Monk Fake Book,52nd Street Theme
"Real Book, Vol. 2",52nd Street Theme
"HL Realbook, Vol. 4",64 Bars On Wilshire
"Ultimate Fake Book, 4th Ed.",77 Sunset Strip
TV Fake Book,77 Sunset Strip
TV Fake Book,7th Heaven Main Theme
Ultimate Jazz Fakebook,9:20 Special
Blues Fakebook,99 Blues
Jazz Classics Fake Book,A Ballad
HL Real Book Vol. 2,A Ballad
Straight Ahead Jazz Fakebook,A Ballad for Doll (Jackie McLean)
Best Fake Book Ever,A Beautiful Friendship
Ultimate Jazz Fakebook,A Beautiful Friendship
Pocket Changes II,A Bientot
Blues Fakebook,A Big Hunk O' Love
Early Rock&Roll Era Fake Book,A Big Hunk O' Love
"Ultimate Pop/Rock Fake Book, 4th Ed.",A Big Hunk O' Love
HL Real Jazz Book,A Blossom Fell
"HL Realbook, Vol. 3",A Blossom Fell
"Ultimate Fake Book, 4th Ed.",A Blossom Fell
"Real Vocal Book, Vol. 2",A Blossom Fell
HL Real Book Vol. 2,A Blossom Fell
Movie Fake Book,A Boat On The Sea
Early Rock&Roll Era Fake Book,A Boy Without A Girl
"Ultimate Fake Book, 4th Ed.",A Boy Without A Girl
Best Fake Book Ever,A Bushel And A Peck
Broadway Fake Book,A Bushel And A Peck
Performer's Fake Book,A Bushel And A Peck
"Real Book, Vol. 1",A Call for All Demons
Real Christmas Book,A Caroling We Go
The Jazz Fakebook (CPP/Belwin),A certain smile
"HL Real Book, 6th Edition",A Child Is Born
HL Real Jazz Book,A Child Is Born
Jazz Classics Fake Book,A Child Is Born
Pocket Changes (1),A Child Is Born
Real Book 6th Ed.,A Child Is Born
"Real Vocal Book, Vol. 1",A Child Is Born
Just Jazz Real Book,A Child Is Born
"Real Book, Vol. 1",A Child Is Born
Broadway Fake Book,A Cock-Eyed Optimist
"HL Realbook, Vol. 4",A Cool Shade Of Blue
HL Jazz Standards Fake Book,A Cottage For Sale
"HL Realbook, Vol. 3",A Cottage For Sale
Real Dixieland Book,A Cottage For Sale
"Ultimate Fake Book, 4th Ed.",A Cottage For Sale
Ultimate Jazz Fakebook,A Cottage For Sale
"Real Vocal Book, Vol. 2",A Cottage For Sale
HL Real Book Vol. 2,A Cottage For Sale
Movie Fake Book,A Couple Of Swells
Beatles Fake Book,A Day In The Life
Just Jazz Real Book,A Day In The Life Of A Fool
HL Jazz Standards Fake Book,A Day In The Life Of A Fool (Manha De Carnaval)
Jazz of the 50's,A Day In The Life Of A Fool (Manha De Carnaval)
"Ultimate Fake Book, 4th Ed.",A Day In The Life Of A Fool (Manha De Carnaval)
Ultimate Jazz Fakebook,A Day In The Life Of A Fool (Manha De Carnaval)
