Band/ Group Name/ Performer,Song Name,Guitar Techniques #,Year,Month,Style,Type,Key,Ability Rating,Tempo,CD,Pages,GT Tutor,Comment,Will Improve Your
10CC,I'm Not In Love,,1995,June,,,,,,,,,,
AC/DC,Back In Black,134,2007,January,Rock,Complete track,,Moderate,,Tracks 4-6,,Steve Allsworth,,
AC/DC,Hell's Bells,43,2000,March,Rock,Complete track,,Easy/Moderate,,Tracks 2-5,,Dave Kilminster,,
AC/DC,Highway To Hell,95,2004,February,Rock,Complete track,,Easy/Moderate,,Tracks 4-6,,Dave Kilminster,,
AC/DC,Riff Raff,70,2002,April,Heavy Rock,Complete track,,Moderate,,Tracks 15-18,,"Guthrie Govan, Phil Hilborne",,
AC/DC,Whole Lotta Roise,120,2006,January,Rock,Complete track,,Moderate/Hard,,Tracks 6-9,,Guthrie Govan,,
AC/DC,Whole Lotta Roise,,1999,May,Rock,Complete track,,Moderate,,Tracks 10-13,,Guthrie Govan,,
AC/DC,You Shook Me All Night Long,,2002,Winter,Metal,Complete track,,Easy/Moderate,,Tracks 6-10,,Guthrie Govan,,
Acoustic Alchemy,Natural Elements,,1997,April,Acoustic,Complete track,,,,Track 9,,Eric Roche,,
Aerosmith,Love In An Elevator,,1999,May,Rock,Complete track,,Moderate,,Tracks 2-5,,James Humphries,,
Aerosmith,Walk This Way,,1996,March,,,,,,,,,,
Alanis Morissette,Ironic,,1997,July,Rock,Complete track,,,,,,Dave Kilminster,,
Albert Collins,Frosty,100,2004,July,Blues,Complete track,,Easy/Moderate,,Tracks 26-28,,Guthrie Govan,,
Albert King,Born Under A Bad Sign,92,2003,December,Blues,Complete track,,Easy,,Tracks 8-10,,Geoff Whitehorn,,
Albert King,Crosscut Saw,,1996,December,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
Albert King,Laundromat Blues,150,2008,April,Blues,Complete track,,Moderate,,Tracks 13-15,,Steve Allsworth,,
Albert King,Oh! Pretty Woman,131,2006,October,Blues,Complete track,,Easy/Moderate,,Tracks 12-14,38-48,James Humphries,,
Albert King,Born Under A Bad Sign,222,2013,October,Blues,Complete track,С#m,Moderate/Advance,106 bpm,Tracks 4-5,16-27,Jacob Quistgaard,,
Albert Lee,Country Boy,,1995,September,Country,Complete track,,,,Tracks 5-6,,,,
Albert Lee,Country Boy,153,2008,June,Country,Complete track,,Moderate/Advance,,Tracks 4-5,,Lee Hodgson,,
Albert Lee,Tiger Rag,,1998,December,Country,Complete track,,Hard,,Tracks 13-15,,Lee Hodgson,,
Albert Lee,Why Not?,44,2000,April,Country,Complete track,,Hard,,Tracks 5-7,,Lee Hodgson,,
Albert Lee,Tear It Up,213,2013,February,Country,Complete track,E blues,Advanced,252 bpm,Tracks 4-6,16-25,Jon Bishop,,
Alex De Grassi,Short Order,42,2000,February,Acoustic,Complete track,,Moderate/Hard,,Tracks 8-9,,Eric Roche,,
Alice Cooper,Ashool's Out,54,2001,January,Rock,Riff,,,,,,Phil Hilborne,,
Alice In Chains,Got Me Wrong,,1997,January,Acoustic,Complete track,,,,Track 9,,James Humphries,,
Alice In Chains,Heaven Beside You,75,2002,August,Rock,Complete track,,Moderate,,Tracks 14-17,,James Humphries,,
Allan Holdsworth,Road Games,138,2007,Spring,Jazz-Rock,Complete track,,Advanced,,Tracks 12-13,,Pete Callard,,
"Allman Brothers Band, The",Jessica,45,2000,May,Rock,Complete track,,Moderate,,Tracks 14-16,,Dave Kilminster,,
"Allman Brothers Band, The",Jessica,,1996,September,Rock,Complete track,,,,Tracks 7-8,,,,
"Allman Brothers Band, The",Ramblin' Man,145,2007,November,Blues-Rock,Complete track,,Moderate,,Tracks 11-13,,James Humphries,,
"Allman Brothers Band, The",Stormy Monday Blues,25,1996,November,Blues,Complete track,,,,Track 2,,Geoff Whitehorn,,
"Allman Brothers Band, The",Statesboro Blues,247,2015,September,Blues-Rock,Complete track,D,Moderate/Advance,156 bpm,Tracks 28-29,26-35,Steve Allsworth,,
America,Ventura Highway,89,2003,September,Rock,Complete track,,Moderate,,Tracks 11-15,,Lee Hodgson,,
Anonymous,Romanza,76,2002,September,Classical,Complete track,,Moderate/Advance,,Tracks 15-16,,Richard Stokkereit,,
Anonymous,Romanza,,1996,March,,,,,,,,,,
Anton Diabelli,Minuet In C,69,2002,March,Classical,Complete track,,Easy,,Tracks 24-25,,Richard Stokkereit,,
Antonín Dvořák,New World Symphony,223,2013,November,Classical,Complete track,C,Moderate,97 bpm,Tracks 43-44,44-47,Bridget Mermikides,,
Arthur Hamilton,Cry Me A River,,1997,March,Jazz,Complete track,,,,Track 6,,Frank Evans,,
Asia,Sole Survivor,44,2000,April,Rock,Complete track,,Hard,,Tracks 2-4,,Dave Kilminster,,
Audioslave,Cochise,115,2005,September,Metal,Complete track,,Moderate,,Tracks 10-12,,James Humphries,,
Average White Band,Pick Up The Pieses,,1995,March,,,,,,,,,,
"Bach, CPE",Solfeggietto,198,2011,December,Classical Shred,Complete track,C minor,Advanced,Rubato,Tracks 58-59,,Paul Bielatowicz,,
