Tune Title,Vol #,Vehicle Type,Key,Tempo,# of choruses,CD Track #
Blues In Bb**,1,Blues,Bb,132,11,7
Blues In F**,1,Blues,F,152,12,8
24-Measure Song**,1,Standard,C,138,5,10
6/8 Modal Blues,2,Blues,C-,184,10,3
Bird Blues,2,Blues,F,160,13,12
Fast Blues In Bb,2,Blues,Bb,192,18,5
Fast Blues In F,2,Blues,F,192,11,10
Home Stretch,2,Blues,D-,168,10,7
Horizontal,2,Blues,C,132,8,8
Long Meter Jazz-Rock,2,Blues,D-,152,6,6
Minor Blues In C,2,Blues,C-,120,10,11
Mr. Super Hip,2,Blues,F-,168,7,2
Slow Blues In F,2,Blues,F,63,6,4
Slow Blues In G,2,Blues,G,80,7,9
Bebop Tune**,3,Bebop,Eb,224,4,6
F Blues With Bridge**,3,Blues,F,240,7,8
G Minor Blues**,3,Blues,G-,116,11,5
Ballad Waltz,4,Ballad,D,98,7,7
7/4 - 3/4,4,Contemp.,C-,196,6,10
Agitation,4,Contemp.,Bb-,256,5,4
All Things Unfinished,4,Contemp.,D,116,3,9
Magic Morning,4,Contemp.,E,138,5,2
Once Remembered,4,Contemp.,G-,208,7,6
Quickie,4,Contemp.,Bb,272,11,8
Scooter,4,Contemp.,F,248,23,5
Five Eight-Bar Phrases**,4,Modal,-,272,9,3
Essence,5,Ballad,Eb,80,3,7
Bebopish (Half Nelson),5,Bebop,C,164,13,9
Groovitis (Sugar),5,Bebop,C-,122,10,2
Half-Nelson**,5,Bebop,C,164,13,9
Killer Pete,5,Bebop,C,125,4,5
Beatitude,5,Contemp.,C,93,14,8
Freddieish,5,Contemp.,Bb,122,5,3
Modal Voyage,5,Modal,D,135,5,6
"Snap, Crackle, and Pop",5,Modal,Bb,84,-,4
Confirmation,6,Bebop,F,204,7,4
Dewey Square,6,Bebop,Eb,204,8,5
Donna Lee (Indiana),6,Bebop,Ab,214,8,6
How High The Moon**,6,Bebop,G,220,7,8
I Got Rhythm**,6,Bebop,Bb,256,9,10
Indiana** (Donna Lee),6,Bebop,Ab,214,8,6
My Little Suede Shoes,6,Bebop,Eb,160,5,7
Ornithology (How High The Moon),6,Bebop,G,220,7,8
Rosetta**,6,Bebop,C,186,6,3
Scrapple From The Apple,6,Bebop,F,196,7,9
Thrivin' From A Riff (I Got Rhythm),6,Bebop,Bb,256,9,10
Yardbird Suite (Rosetta),6,Bebop,C,186,6,3
Billie's Bounce,6,Blues,F,154,-,2
Now's The Time,6,Blues,F,154,13,2
Dig (Fast),7,Bebop,Ab,224,9,13
Dig (Slow),7,Bebop,Ab,176,8,3
Four (Fast),7,Bebop,Eb,224,10,9
Four (Slow),7,Bebop,Eb,144,6,1
I Got Rhythm** (Fast),7,Bebop,Bb,216,10,14
I Got Rhythm** (Fast),7,Bebop,Bb,264,11,11
I Got Rhythm** (Slow),7,Bebop,Bb,126,6,8
I Got Rhythm** (Slow),7,Bebop,Bb,160,7,4
Milestones (Old),7,Bebop,Bb,132,6,7
Serpent's Tooth (I Got Rhythm) (Fast),7,Bebop,Bb,216,10,14
Serpent's Tooth (I Got Rhythm) (Slow),7,Bebop,Bb,126,6,8
Solar (Fast),7,Bebop,C-,264,22,12
The Theme (I Got Rhythm) (Fast),7,Bebop,Bb,264,11,11
The Theme (I Got Rhythm) (Slow),7,Bebop,Bb,160,7,4
Tune-Up (Fast),7,Bebop,D,232,9,10
Tune-Up (Slow),7,Bebop,D,168,6,2
Solar (Slow),7,Bebop/Bossa,C-,132,12,5
Vierd Blues,7,Blues,Bb,100,12,3
Airegin,8,Bebop,F-,246,8,8
Blue Seven,8,Bebop,Bb,120,12,4
Doxy,8,Bebop,Bb,134,9,2
I Got Rhythm**,8,Bebop,Bb,270,9,9
Oleo (I Got Rhythm),8,Bebop,Bb,270,9,9
Pent-Up House,8,Bebop,G,230,17,7
Valse Hot,8,Bebop,Ab,140,14,5
Solid,8,Blues,Bb,230,24,6
Tenor Madness,8,Blues,Bb,230,24,6
St. Thomas,8,Latin,C,208,16,3
Beyond All Limits,9,Bebop (Bossa) ,F,165,4,8
Beyond All Limits,9,Bebop (Swing),F,165,4,8
Blues For Wood,9,Blues,F-,112,22,4
Little Red's Fantasy,9,Contem.,F,130,4,2
In Case You Haven't Heard,9,Contemp.,Bb,190,1+6+1,6
Katrina Ballerina,9,Contemp.,G-,160,5,3
Moontrane,9,Contemp.,Bb,272,8,5
Tomorrow's Destiny,9,Contemp.,F-,230,3,7
Passion,10,Ballad,G-,58,2,5
Black Thursday,10,Bebop,F-,106,3,6
Kentucky Oysters,10,Blues,F,142,10,4
Le Miroir Noir,10,Blues,C,86,8,9
Aulil,10,Contemp.,E,142,6,2
Le Roi,10,Contemp.,C-,272,12,3
Soleil D'Altamira,10,Contemp.,C-,192,4,8
Bossa Belle,10,Standard,C,148,4,7
Jessica,11,Ballad,C-,88,2+7+2,8
And What If I Don't?,11,Bebop,Eb,118,4,4
Eye Of The Hurricane,11,Blues,F-,265,2+18+1,9
Watermelon Man,11,Blues,F,128,7,6
Dolphin Dance,11,Contemp.,Eb,124,4,7
Toys,11,Contemp.,D-,124,2+5+1,5
Cantaloupe Island,11,Modal,F-,132,8,2
Maiden Voyage,11,Modal,D,126,5,3
In A Sentimental Mood,12,Ballad,F,62,2,7
Mood Indigo,12,Ballad,Ab,100,4,5
Prelude To A Kiss,12,Ballad,C,62,2,10
Sophisticated Lady,12,Ballad,Ab,70,2,8
I Let A Song Go Out Of My Heart,12,Standard,Eb,172,5,4
Perdido,12,Standard,Bb,220,7,6
Satin Doll,12,Standard,C,128,4,2
Solitude,12,Standard,Eb,116,4,3
"Take The ""A"" Train",12,Standard,C,162,6,9
Del Sasser,13,Bebop,Eb,252,5,3
Jeanine,13,Bebop,Ab,245,5,8
Work Song,13,Bebop,F-,196,16,2
Sack Of Woe,13,Blues,F,168,6,9
Scotch And Water,13,Blues,C,180,5,4
Unit 7,13,Blues,C,214,6,6
Saudade,13,Standard,Eb,192,1+5.5,5
Cannon-Aid,13,Waltz,C-,132,8,7
I Remember Clifford,14,Ballad,Eb,60,2,7
Along Came Betty,14,Bebop,Ab,114,4,4
Are You Real?,14,Bebop,Eb,214,6,5
Killer Joe,14,Bebop,C,116,5,2
Stablemates,14,Bebop,Db,254,7,8
Whisper Not,14,Bebop,C-,112,5,6
Blues March,14,Blues,Bb,118,12,9
Ease Away Walk,14,Contemp.,C-,74,11,3
Body And Soul**,15,Ballad,Db,82,2,4
Flesh And Spirit (Body And Soul),15,Ballad,Db,82,2,4
The Song Is You**,15,Bebop,C,228,5,8
Another Yew (There Will Never Be) (F),15,Standard,Eb,164,5,6
Another Yew (There Will Never Be) (S),15,Standard,Eb,284,8,2
April (I Remember April),15,Standard,G,276,4,9
Cherokee**,15,Standard,Bb,294,5,10
It's You (It's You Or No One),15,Standard,F,218,7,7
Share-A-Key (Cherokee),15,Standard,Bb,294,5,10
Stella (Stella By Starlight),15,Standard,Bb,174,6,3
What Is This? (Thing Called Love),15,Standard,C,200,6,5
You're The Song (The Song Is You),15,Standard,C,228,5,8
Some Of The Things I Am**,16,Bebop,Ab,138,5,"D2,11"
Coltrane Blues**,16,Blues,Bb,126,11,"D2,10"
Guess What Key I'm In**,16,Blues,G,112,9,"D2,12"
All The Things You Are**,16,Standard,Ab,138,5,"D2,11"
Bb Rhythm Changes**,16,Standard,Bb,132,4,"D2,9"
Peace,17,Ballad,Bb,61,8,8
Gregory Is Here,17,Bebop,Bb,152,3,7
Nutville,17,Bebop,C-,284,14,9
Silver's Serenade,17,Bebop,E-,137,10,3
Sister Sadie,17,Bebop,G,175,7,6
Jody Grind,17,Blues,Bb-,156,16,5
Song For My Father,17,Latin,F-,137,7,2
The Preacher,17,Standard,F,180,14,4
Barbara,18,Bebop,Eb,164,4,8
Ecaroh,18,Bebop,Db,164,1+5,6
"Lover, Come Back To Me**",18,Bebop,Ab,308,5,9
Mayreh (All God's Chillun),18,Bebop,F,268,10,7
Nica's Dream,18,Bebop,Bb,210,4,5
Quicksilver (Lover Come Back To Me),18,Bebop,Ab,308,5,9
Room 608,18,Bebop,Bb,274,10,4
Strollin',18,Bebop,Db,144,6,2
Summer In Central Park,18,Bebop,F,136,5,3
Tomorrow's Expectations,19,Ballad,Gb,60,2,8
Bonnie's Blue,19,Blues,F,163,17,7
Brite Piece,19,Contemp.,B,220,5,6
Loft Dance,19,Contemp.,Gb,292,21,5
Oasis,19,Contemp.,F,128,9,4
Picadilly Lilly,19,Contemp.,E,184,6,2
Slumber,19,Contemp.,C-,128,4,3
Lookout Farm,19,Free Form,D-,273,-,9
Confirmation**,20,Bebop,F,165,6,10
Confirmed (Confirmation),20,Bebop,F,165,6,10
Bb Blues For Wes,20,Blues,Bb,230,18,5
Groove Blues In F,20,Blues,F,150,14,11
Autumn (Leaves),20,Standard,G-,144,5,3
Autumn Leaves**,20,Standard,G-,144,5,3
Bout You And Me (How About You),20,Standard,Eb,178,6,2
Friends (Just Friends),20,Standard,F,232,8,6
Hotel Grande (There's A Small Hotel),20,Standard,Eb,168,4,4
How About You**,20,Standard,Eb,178,6,2
I Got Rhythm**,20,Standard,Bb,244,8,8
Just Friends**,20,Standard,F,232,8,6
Like Somebody (Like Someone In Love),20,Standard,Eb,145,5,9
Like Someone In Love**,20,Standard,Eb,145,5,9
Nowhere (Out Of Nowhere),20,Standard,G,160,4,7
Out Of Nowhere,20,Standard,G,160,4,7
Rhythm In Bb (I Got Rhythm),20,Standard,Bb,244,8,8
There's A Small Hotel**,20,Standard,Eb,168,4,4
Bb Blues**,21,Blues,Bb,84,8,"D2,15"
F Blues**,21,Blues,F,72,7,"D2,14"
Easy Living,22,Ballad,Eb,52,3,"D1,5"
I Remember You,22,Ballad,F,114,4,"D2,8"
My Ideal,22,Ballad,Eb,136,5,"D1,4"
My Old Flame,22,Ballad,G,70,3,"D1,3"
If I Should Lose You,22,Standard,Bb,134,4,"D2,3"
It Could Happen To You,22,Standard,G,172,7,"D2,4"
Lover (3/4),22,Standard,C,186,5,"D2,5"
Lover (4/4),22,Standard,C,204,4,"D2,9"
Nearness of You,22,Standard,F,82,4,"D1,6"
Out Of Nowhere,22,Standard,G,126,5,"D2,6"
Soon,22,Standard,Eb,178,7,"D2,2"
Stella By Starlight,22,Standard,G,124,7,"D1,2"
Tangerine,22,Standard,F,200,7,"D2,7"
Wives And Lovers,22,Standard,Eb,184,5,"D1,7"
Angel Eyes,23,Ballad,D-,68,4,"D2,2"
But Beautiful,23,Ballad,G,70,4,"D2,7"
Everything Happens To Me,23,Ballad,Bb,70,3,"D1,4"
Here's That Rainy Day,23,Ballad,G,142,5,"D1,2"
I Gave You Violets For Your Furs**,23,Ballad,F,68,3,"D2,5"
I Should Care,23,Ballad,C,100,6,"D1,6"
Imagination,23,Ballad,Eb,70,4,"D1,3"
Polka Dots And Moonbeams,23,Ballad,F,60,3,"D2,4"
Like Someone In Love,23,Standard,C,195,11,"D1,5"
Personality,23,Standard,G,134,6,"D2,6"
Violets For Your Furs,23,Standard,F,68,3,"D2,5"
Will You Still Be Mine?,23,Standard,Bb,208,5,"D2,3"
You Say You Care,23,Standard,F,224,10,"D1,7"
I Can't Get Started,25,Ballad,C,74,3,"D1,6"
It Might As Well Be Spring,25,Ballad,G,68,2,"D1,8"
I've Grown Accustomed To Her Face,25,Ballad,Eb,72,4,"D2,6"
My Foolish Heart,25,Ballad,Bb,74,2,"D1,3"
My Funny Valentine,25,Ballad,C-,78,2,"D2,10"
A Foggy Day,25,Standard,F,208,8,"D1,7"
Come Rain Or Shine,25,Standard,F,154,6,"D2,4"
Have You Met Miss Jones?,25,Standard,F,208,9,"D1,2"
I Could Write A Book,25,Standard,Eb,212,7,"D2,8"
I Love You,25,Standard,F,236,9,"D1,4"
Love Is Here To Stay,25,Standard,F,196,7,"D2,9"
My Favorite Things,25,Standard,E-,224,5,"D1,9"
Old Devil Moon,25,Standard,F,230,6,"D2,7"
September Song,25,Standard,C,130,6,"D1,5"
Speak Low,25,Standard,F,240,5,"D2,5"
Summertime,25,Standard,D-,128,10,"D2,2"
The Party's Over,25,Standard,Eb,70,2,"D2,3"
Crescent,27,Ballad,C-,109,7,8
Naima,27,Ballad,Ab,55,4,4
Like Sonny,27,Bebop,Eb,155,8,5
Blues Minor,27,Blues,F-,245,12,7
Mr. P.C.,27,Blues,C-,260,29,2
Some Other Blues,27,Blues,F,174,18,3
Spiritual,27,Modal,C-,97,-,6
The Promise,27,Modal,G-,164,5,9
Dear Lord,28,Ballad,D,97,2,8
26-2 (Confirmation),28,Bebop,F,210,7,6
Confirmation**,28,Bebop,F,210,7,6
Countdown,28,Bebop,D,255,11,11
Giant Steps (Fast),28,Bebop,B,308,19,5
Giant Steps (Slow),28,Bebop,B,224,14,4
Mr. Day,28,Blues,F#,244,23,10
Up Against The Wall,28,Blues,Ab,150,12,7
A Love Supreme,28,Modal,F-,114,-,9
Impressions (Fast),28,Modal,D-,300,12,3
Impressions (Slow),28,Modal,D-,224,9,2
Together,29,Ballad,F,75,3,4
Action,29,Bebop,D,208,6,8
Invention,29,Bebop,Eb,232,8,2
Jonathan's Waltz,29,Bebop,A,75,5,5
Samba Teekens,29,Bebop,F,246,7,6
Suspended Motion,29,Bebop,D,170,6,3
Blues Allegro,29,Blues,F,125,6,11
Blues Andante,29,Blues,F,70,6,9
Fugato,29,Contemp.,C-,115,4,10
The Flag Is Up,29,Contemp.,F,120,7,7
Reflection,30A&B,Ballad,F,60,2,8
Bye Bye Boston,30A&B,Bebop,C-,176,6,3
Lady's Bounce,30A&B,Bebop,Bb,112,9,6
Tippin' Time,30A&B,Blues,Bb,108,11,2
Bossa For Cheryl,30A&B,Bossa,Eb,120,5,4
Fast Mode Al,30A&B,Modal,Eb-,240,7,5
Samba De Luvsme,30A&B,Samba,G-,240,6,9
Scott's Waltz,30A&B,Waltz,G,190,8,7
Desafinado,31,Standard,F,186,3,6
How Insensitive,31,Standard,D-,120,4,8
Little Boat,31,Standard,Bb,144,11,9
Meditation,31,Standard,C,146,4,3
Once I Loved,31,Standard,F,184,5,7
One Note Samba,31,Standard,Bb,218,7,11
Quiet Nights Of Quiet Stars,31,Standard,C,138,5,5
Summer Samba (So Nice),31,Standard,F,165,6,10
The Girl From Ipanema,31,Standard,F,146,4,2
Wave,31,Standard,D,144,4,4
Chelsea Bridge,32,Ballad,Db,69,3,7
Lover Man,32,Ballad,F,65,3,2
Lush Life,32,Ballad,Db,66,1+2,5
Skylark,32,Ballad,F,72,3,3
Soul Eyes,32,Ballad,C-,69,3,8
You Don't Know What Love Is,32,Ballad,F-,72,3,6
You've Changed,32,Ballad,Eb,70,3,4
Ballad Blues,32,Blues,Bb,65,6,9
Infant Eyes,33,Ballad,Bb,56,3,"D1,4"
Miyako,33,Ballad,E-,72,5,"D1,7"
Virgo,33,Ballad,F,54,2,"D2,4"
Black Nile,33,Bebop,D-,228,7,"D2,9"
Adam's Apple,33,Blues,Ab,178,7,"D2,2"
Footprints,33,Blues,C-,176,11,"D1,3"
Children Of The Night,33,Contemp.,B,212,5,"D2,3"
E.S.P.,33,Contemp.,F,284,10,"D1,5"
El Gaucho,33,Contemp.,E-,184,11,"D2,11"
Fee-Fi-Fo-Fum,33,Contemp.,G-,112,5,"D1,6"
Juju,33,Contemp.,B,178,10,"D2,5"
Nefertiti,33,Contemp.,Ab,116,8,"D2,8"
Night Dreamer,33,Contemp.,G,128,10,"D2,10"
Speak No Evil,33,Contemp.,C-,134,4,"D1,8"
This Is For Albert,33,Contemp.,G,194,6,"D2,6"
Wild Flower,33,Contemp.,Bb,142,4,"D1,9"
Witch Hunt,33,Contemp.,C-,130,7,"D1,2"
Yes And No,33,Contemp.,D,264,6,"D2,7"
Don't Blame Me,34,Ballad,C,69,2.5,"D1,4"
I Left My Heart In San Francisco,34,Ballad,Bb,144,2.5,"D1,11"
Laura,34,Ballad,C,80,4,"D2,7"
Once In Awhile,34,Ballad,Eb,140,3,"D2,3"
